,0,1,2,3,4
0,0.6502847,0.25091872,0.7175557,1.072403,-0.8778884
1,0.6502847,0.25091872,0.7175557,1.072403,-0.30046958
2,0.6502847,0.25091872,0.7175557,1.072403,0.27694926
3,0.6502847,0.25091872,0.7175557,1.072403,0.85436815
4,0.6502847,0.25091872,0.7175557,1.072403,1.4317869
5,0.050110724,2.1962016,1.7584662,0.20555778,-0.62283224
6,0.050110724,2.1962016,1.7584662,0.20555778,-0.052498303
7,0.050110724,2.1962016,1.7584662,0.20555778,0.5178357
8,0.050110724,2.1962016,1.7584662,0.20555778,1.0881696
9,0.050110724,2.1962016,1.7584662,0.20555778,1.6585035
10,0.50024116,3.4930568,-0.58358246,1.939248,-0.6936812
11,0.50024116,3.4930568,-0.58358246,1.939248,-0.42799768
12,0.50024116,3.4930568,-0.58358246,1.939248,-0.16231416
13,0.50024116,3.4930568,-0.58358246,1.939248,0.103369355
14,0.50024116,3.4930568,-0.58358246,1.939248,0.3690529
15,0.50024116,1.2235602,-0.58358246,1.072403,-0.56615305
16,0.50024116,1.2235602,-0.58358246,1.072403,0.04669021
17,0.50024116,1.2235602,-0.58358246,1.072403,0.65953356
18,0.50024116,1.2235602,-0.58358246,1.072403,1.2723768
19,0.50024116,1.2235602,-0.58358246,1.072403,1.8852202
20,-1.0001937,-0.07329509,-0.58358246,-1.0947099,-1.2746425
21,-1.0001937,-0.07329509,-0.58358246,-1.0947099,-1.0195863
22,-1.0001937,-0.07329509,-0.58358246,-1.0947099,-0.7645301
23,-1.0001937,-0.07329509,-0.58358246,-1.0947099,-0.5094739
24,-1.0001937,-0.07329509,-0.58358246,-1.0947099,-0.25441778
25,1.5505457,-0.7217227,-0.58358246,-1.0947099,0.92167455
26,0.50024116,-0.07329509,-1.1040378,-0.6612873,-0.8920582
27,0.50024116,-0.07329509,-1.1040378,-0.6612873,-0.3996581
28,0.50024116,-0.07329509,-1.1040378,-0.6612873,0.09274202
29,0.50024116,-0.07329509,-1.1040378,-0.6612873,0.58514214
30,0.50024116,-0.07329509,-1.1040378,-0.6612873,1.0775422
31,0.9503717,0.89934635,-0.32335484,0.6389804,-0.31109694
32,0.9503717,0.89934635,-0.32335484,0.6389804,0.19547297
33,0.9503717,0.89934635,-0.32335484,0.6389804,0.70204294
34,0.9503717,0.89934635,-0.32335484,0.6389804,1.2086128
35,0.9503717,0.89934635,-0.32335484,0.6389804,1.7151827
36,1.7005892,-0.7217227,0.9777834,1.5058255,-1.3313217
37,1.7005892,-0.7217227,0.9777834,1.5058255,-1.047926
38,1.7005892,-0.7217227,0.9777834,1.5058255,-0.7645301
39,1.7005892,-0.7217227,0.9777834,1.5058255,-0.48113436
40,1.7005892,-0.7217227,0.9777834,1.5058255,-0.19773863
41,3.0509806,2.8446293,0.19710042,1.5058255,0.25569457
42,3.0509806,2.8446293,0.19710042,1.5058255,0.5745148
43,3.0509806,2.8446293,0.19710042,1.5058255,0.89333504
44,3.0509806,2.8446293,0.19710042,1.5058255,1.2121552
45,3.0509806,2.8446293,0.19710042,1.5058255,1.5309755
46,-1.6003677,-1.0459365,-0.58358246,-0.6612873,-0.52364373
47,-1.6003677,-1.0459365,-0.58358246,-0.6612873,-0.43508255
48,-1.6003677,-1.0459365,-0.58358246,-0.6612873,-0.3465214
49,-1.6003677,-1.0459365,-0.58358246,-0.6612873,-0.25796023
50,-1.6003677,-1.0459365,-0.58358246,-0.6612873,-0.16939905
51,0.050110724,-0.39750892,-0.58358246,-0.6612873,-0.46696457
52,0.050110724,-0.39750892,-0.58358246,-0.6612873,-0.16231416
53,0.050110724,-0.39750892,-0.58358246,-0.6612873,0.14233628
54,0.050110724,-0.39750892,-0.58358246,-0.6612873,0.4469867
55,0.050110724,-0.39750892,-0.58358246,-0.6612873,0.75163716
56,0.8003282,0.89934635,-0.8438101,-0.22786477,1.1058818
